Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Agricultural Commodities,"This publication contains final estimates of land use, crop and horticultural area and production, livestock numbers and farm management and demographic information for Australia, states and territories.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/ac3468ca-69d0-409e-9a0f-fc8a424f8d13,2013-04-15T05:04:27.533891,2017-01-23T03:38:50.858309,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"agriculture, crops, economic, horticulture, land use, livestock, statistics","Business, industry and trade",Castiel
Prisoner Characteristics,"Contains national information on prisoners who were in custody on 30 June each year. The statistics are derived from information collected by the ABS from corrective services agencies in each state and territory. Details are provided on the number of people in correctional institutions (including people on remand), imprisonment rates, most serious offence and sentence length. Information is also presented on prisoner characteristics (age, sex, Indigenous status) and on the type of prisoner (all prisoners, sentenced prisoners, and unsentenced prisoners (remandees).",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/36ac147e-e8eb-43fb-af59-c1cc8ef1dc0f,2013-04-16T02:07:43.934186,2017-01-23T03:37:58.427652,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"crime, prisoners, statistics","Crime, justice and law",Castiel
Tourist Accommodation,"This annual release of the STA contains four quarters of the financial year.

This release contains information on the supply of, and demand for, tourist accommodation facilities. Data include number of establishments and capacity for each quarter of the financial year and occupancy and takings from accommodation for each month; by type of establishment and accommodation class. Data are presented for each state/territory and Australia, and by Tourism Region and Statistical Area Level 2.

Results are for hotels, motels and guest houses with 15 or more rooms and serviced apartments with 15 or more units.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/8db6aa66-707a-400a-b6cb-cc0fac56f1ae,2013-04-15T05:31:30.299696,2017-01-23T03:36:44.934189,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"accommodation, economic, statistics, survey, tourism, tourist","Transport, travel and motoring",Castiel
Criminal Courts,"

Contains national information on defendants finalised in the Higher (Supreme and Intermediate), Magistrates' and Children's criminal courts between 1 July and 30 June each year. Details are provided on the characteristics and outcomes of finalised defendants (including age, sex, Indigenous status, method of finalisation and principal offence committed), and the sentence outcomes associated with those proven guilty (including sentence type and sentence length) by the principal proven offence committed. Information is also presented for each state and territory, and for each of the three court levels.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/c34081b9-e2db-4a5c-b2ab-1449cbb929d8,2013-04-16T02:03:52.147126,2017-01-23T03:33:46.658096,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"courts, crime, criminal, defendants, magistrate, statistics, supreme","Crime, justice and law",Castiel
Vineyards,"Provides estimates from the Vineyards Census. This includes information at national and state levels on areas of vines (including: areas bearing, not yet bearing and those removed or grafted) and production of grapes. It also includes summary data on major grape varieties.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/3eaf0947-f0a8-4206-80fd-98ec2d159d78,2013-04-15T05:24:55.801411,2017-01-23T03:32:10.076932,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"economic, grapes, statistics, vineyards, wine","Business, industry and trade",Castiel
Schools,"This annual product contains data on the numbers of schools, students, and staff involved in the provision or administration of school education in government and non-government schools, for all Australian states and territories including Other Territories and Norfolk Island. It includes student-related measures, such as apparent retention rates, and ratios of students to teaching staff. The statistics are derived from administrative records compiled by each state and territory and the Australian Government.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e86cda1c-e4dd-40ff-a18f-f57c18ea91bf,2013-05-09T06:02:07.331587,2017-01-23T03:31:10.610803,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"education, staff, statistics, students","Education, skills and learning",Castiel
Labour Force Quarterly,"A range of quarterly Excel spreadsheets and SuperTABLE datacubes. The spreadsheets contain broad level data covering all the major items of the Labour Force Survey in time series format, including seasonally adjusted and trend estimates. The datacubes contain more detailed and cross classified original data than the spreadsheets.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/6e64eb0e-0f21-48ef-9a59-753384040cb5,2013-04-15T04:31:16.842874,2017-01-23T03:30:25.534045,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"economic, labour, statistics, survey",Finance and employment,Castiel
Education and Work,"Provides selected information on participation in education, highest educational attainment, transition from education to work and current labour force and demographic characteristics for the civilian population aged 15-74 years. Characteristics reported on include: type of educational institution attended or attending; level and main field of education of current study and highest level and main field of educational attainment.

Information on unsuccessful enrolment, and deferment of study, is included for persons not studying in the survey year. Data on apprenticeships are also provided.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/7b08a3bb-8c35-4669-b753-ef4c0f4d657c,2013-05-09T05:53:31.499669,2017-01-23T03:29:43.985289,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"education, labour, statistics",Finance and employment,Castiel
Australian Demographic Statistics (population estimates),"Quarterly estimates of total resident population for states, territories and Australia. Includes estimates of the population by sex in five-year age groups; numbers (and some rates) of births, deaths, infant deaths, interstate and overseas movements; quarterly and/or annual time series spreadsheets; projected resident population for states, territories and Australia; and projected number of households for capital cities, states territories and Australia.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/9301d6e2-2f35-4a26-b785-c24193927110,2013-04-12T05:37:46.229309,2017-01-23T03:29:14.935928,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"census, housing, population, statistics","Housing, land, planning and infrastructure",Castiel
Traffic Restrictions,Illustrates traffic restrictions across the Adelaide City Council boundary area.,dataset,,Creative Commons Attribution,active,Linked,When new traffic restrictions are submitted,/dataset/68ce82f9-f1dc-4cb2-9080-e5c5f0cf0eb0,2014-05-26T05:22:55.407808,2017-07-02T23:36:29.586443,DataSA@sa.gov.au,Provides location and time information on traffic restrictions,N/A,N/A,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Road Closures, Roadworks, restrictions, traffic",Community information and citizen services,Castiel
Development Applications,"Provides details of all development applications that have been lodged with the Adelaide City Council that have not yet expired.

More information about development planning and building in the city can be found at: http://www.adelaidecitycouncil.com/planning-development/building-renovating/",dataset,,Creative Commons Attribution,active,Linked,daily,/dataset/35711273-b0b0-49ab-9d42-f92cc27b0912,2013-05-18T03:34:12.589513,2017-06-26T04:38:53.689575,DataSA@sa.gov.au,,N/A,N/A,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, applications, business, council, development, housing, land, planning","Housing, land, planning and infrastructure",Castiel
Environmental Data,"Environmental Data located from Sensors located on 25 Pirie Street, Adelaide 5000.

Data collected from the following sensors: CO, Temperature, CH4 Humidity, Atmospheric Pressure, Noise, Dust, Light.

Go to: http://www.libelium.com/products/plug-sense/models/ for more Sensor information (we are currently using the 'Smart Environment PRO' sensor and 'Smart Cities').",dataset,English,Creative Commons Attribution,active,Linked,monthly,/dataset/5a4b0eb5-5297-46e2-a0ae-b1f10a3309fc,2016-06-29T06:45:56.955515,2017-06-26T04:18:31.346808,city@adelaidecitycouncil.com,,2016/6/15,2016/6/28,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"CH4, CO, Humidity, Temperature, atmospheric pressure, dust, environmental, light, noise, sensor, smart city","Water, energy, resources, environment and science",Castiel
Event Notification,Provides a breakdown of whether subscribers have registered to receive updates for event parking controls and/or event roads closures and/or permanent parking control changes. This information also includes whether these updates were required to be sent to mobile phones and/or email. Information provided includes event dates.,dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/cbcb4acb-a366-420f-9a5c-98eb2a7c6dc1,2015-06-04T02:36:44.930433,2017-06-26T04:15:40.150788,city@adelaidecitycouncil.com,,2015,2015,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"On Street Parking, car parking, email, events, notification, parking controls, road closure, sms","Transport, travel and motoring",Castiel
Presence Count,"Presence count from different locations across Pirie Street and Hindmarsh Square. The sampling is taken every 6 hours from each sensor.

The KML file can be used as a reference to the area where the presence count sensors are currently installed. ",dataset,English,Creative Commons Attribution,active,Linked,monthly,/dataset/ac174f42-a654-4418-8cf2-da9d43e7a8a3,2016-07-01T04:03:28.903030,2017-06-26T04:11:43.779600,city@adelaidecitycouncil.com,,2016/3/5,,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"presence count, smart city",Community information and citizen services,Castiel
Residential Dwellings,The number of residential dwellings categorised by type and by survey block location from 2006 to 2014. SurveyBlockID in the table links to SVYBLK in the KMZ layer SurveyBlock.,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/7d6c29ca-ac01-4bd4-a9d2-237eb09b5888,2016-06-20T07:20:45.611728,2017-06-14T04:19:36.883633,city@adelaidecitycouncil.com,,2006/12/31,2014/12/31,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"dwellings, location, resident, residential","Business, industry and trade, Housing, land, planning and infrastructure",Castiel
Adelaide City Census of Land Use and Employment,"Provides a statistical snapshot of the Citys employment by industry and location.

The census also captures parking and venue capacities however for simplicity this data has not been included in this dataset for the competition.  Includes employment numbers (part time and full time) by industry (Anzic division and class) aggregated at city survey block level.   Due to privacy guarantees, when the data is delivered to agencies outside the ACC land use survey is aggregated to survey block level.  The survey block shapefile provides a visual representation of the data and has the survey block number or ID which can be used to link to land use data.

The land use data is a one to many relationship to the land use tables so is not presented joined but in separate tables (CSV files).  There are two CSV files, one of higher level (Division) land use and a lower level land use (class), both with the attendant employee figures for that Survey Block. There is an additional dataset that groups all the Anzsic activities by Survey Block. The survey block number is used for linking back to the survey block shapefile.

FkSurveyBl in the tables links to SVYBLK in the KMZ layer SurveyBlock.
Additional information on ANZSIC codes.",dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/6f9688c0-6952-4805-8da8-8e090202c55c,2013-05-15T22:10:34.386107,2017-06-07T04:04:51.295256,DataSA@sa.gov.au,Employment numbers (part-time & full-time) aggregated down to city survey block level. Land use presented in higher and lower level divisions linking to employment numbers. ,N/A,,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, anzic, business, council, employment, housing, industry, land use, location","Community information and citizen services, Finance and employment",Castiel
Torrens Lake Water Quality,This dataset contains a variety of water quality measurements from various locations in the Torrens Lake between the Hackney Road bridge and the Torrens Weir.  In particular it captures blue green algae levels and nutrient levels in the lake and supports the management of blue green algae over the summer months. ,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/73b42e49-41f8-4994-925e-1745c04ccf6a,2015-06-16T01:10:49.950062,2017-02-10T04:54:21.009324,city@adelaidecitycouncil.com,varies depending on sampling undertaken,2009/1/15,,Torrens Lake Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, blue green algae, torrens lake, water quality","Water, energy, resources, environment and science",Castiel
Traffic Intersection Volumes,"Data from the traffic signalling system (SCATS). The dataset contains hourly traffic volumes for the Adelaide City Council jurisdiction.

Metadata:

<ul>
  <li>- site_no: Unique site identifier for each intersection.</li>

  <li>- site_desc: Brief description of the intersection.</li>

  <li>- lat: the latitude of that traffic intersection.</li>

  <li>- lon: the longitude of that traffic intersection.</li>

  <li>- rec_date: date of the traffic intersection count.</li>

  <li>- rec_hour: hour of the traffic intersection count.</li>

  <li>- hourly_traffic: hourly traffic intersection count.</li>

  <li>- t_detector_counts: total expected count events in an hour at that intersection.</li>

  <li>- t_valid_counts: total number of non-error count events in an hour at that intersection.</li>

  <li>- t_error_counts: total number of error count events in an hour at that intersection.</li>

  <li>- error_ratio: ratio between error and non-error count events.</li>
</ul>",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/1492e6ae-1ee1-4490-8e01-5a9e8a28fb3a,2016-07-06T00:50:58.575377,2017-02-09T03:53:50.131169,city@adelaidecitycouncil.com,,2010/1/1,2014/12/31,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"count, intersection, traffic, volumes","Transport, travel and motoring",Castiel
Customer Calls Categorised,Each interaction is categorised within the Contact Centre Telephony application - Customer Interaction Centre (CIC) at the end of each interaction using what is known as a Wrap-up Code. The Wrap-up Codes provide high level reporting around what the interaction was regarding. ,dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/0117b311-d738-43ba-b528-9d5f583d8a83,2016-06-20T06:39:56.156212,2017-01-31T03:44:18.146410,city@adelaidecitycouncil.com,Call categories,2015/1/1,2015/12/31,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"calls, contact, contact centre, customer, phone, telephone",Community information and citizen services,Castiel
UPark Car Parks - Available Spaces,"Displays the number of current car parking spaces available at each of the UPark car parks located in the city.

Further information re UPark locations, operating hours, rates are available at: http://upark.com.au/
",dataset,,Creative Commons Attribution,active,Linked,Every 2 minutes,/dataset/0a66175c-e9d4-4513-ad8e-83c0f1b845ef,2014-06-05T05:22:01.239322,2016-12-02T04:19:38.583167,DataSA@sa.gov.au,"Off street parking data for UPARK car parks showing number of spaces currently available, updated every two minutes.",Current,N/A,Adelaide City Council Boundary,Local Government,data.sa.gov.au,Adelaide City Council,"available spaces, car park, car parking, city car parks, city parking, parking, upark, uparks",Community information and citizen services,Castiel
Smart Lighting Energy Consumption,"Smart lighting energy consumption levels since smart LED lights replaced 65 conventional lights in Pirie street and Hindmarsh square in November 2015. 

The KML file can be used as a reference to the area where the 65 LED lights are currently installed.",dataset,English,Creative Commons Attribution,active,Linked,monthly,/dataset/c1b54ac7-bc8e-4f3d-8bcb-a7fc689ce7e4,2016-06-30T04:55:56.006511,2016-11-15T23:22:08.558027,city@adelaidecitycouncil.com,,2015/11/1,,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"energy consumption, smart city, smart lighting","Water, energy, resources, environment and science",Castiel
On Street Parking Zones,"Displays the on-street parking zones located in the Adelaide City Council areas.
Information provided includes the zones location, status, number of spaces available, size of park, and any associated parking controls and limits.

",dataset,,Creative Commons Attribution,active,Linked,weekly,/dataset/0cb3b204-41f6-4703-aabf-c8c5adfc08d0,2013-05-28T04:13:59.135863,2016-11-15T06:22:39.971472,DataSA@sa.gov.au,All restrictions & controls,Current,N/A,Adelaide City Council boundary,Local Government,data.sa.gov.au,Adelaide City Council,"Limits, Parking, Street, Zone, access, adelaide, business, consumer, residential, taxi","Transport, travel and motoring",Castiel
Adelaide Free Wi-Fi connections,This dataset provides information about the number of hourly connections to each of the Access Points from the Adelaide Free Wi-Fi network. The system uses a threshold (minimum associated clients and maximum associated clients) to collect the number of connections.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/dataset/807c0c0f-868b-4166-b752-f84a400839bc,2016-06-29T02:08:04.349717,2016-11-11T05:21:34.768749,city@adelaidecitycouncil.com,,2016/2/15,,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"Free WiFi, connectivity",Community information and citizen services,Castiel
Events,Provides details of events that are planned in the Adelaide City Council area.,dataset,,Creative Commons Attribution,active,Linked,Automatic,/dataset/7b3c68d7-ca6f-46c7-bf81-9f7ee498e740,2014-05-26T04:13:15.798010,2016-10-21T04:38:11.323676,DataSA@sa.gov.au,N/A,Current,N/A,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, events, whats on","Community information and citizen services, Sports and Recreation",Castiel
Outdoor Dining Permits,Lists all businesses in Adelaide CBD & North Adelaide with permits to offer outdoor dining.,dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/f642b13c-bbe3-4e17-b6dd-f91cf273e4d0,2015-06-03T06:05:07.458144,2016-09-21T07:16:32.242457,city@adelaidecitycouncil.com,,2014,2015,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Outdoors, business, business name, dining, food, license, permits","Business, industry and trade",Castiel
Dog Registrations,"List of dogs registered in Adelaide City Council area (Adelaide and North Adelaide) for a particular period.

Information provided includes dog name, breed, period, gender, current status, class, transaction type and suburb.
",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/8aa33af5-4146-447e-b9e9-0c00b616cd38,2013-05-06T02:54:52.763606,2016-08-15T07:01:38.855724,DataSA@sa.gov.au,"Provides summary data about the dog, does not include ownership or address details. ",Current,,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Animals, Breeds, adelaide, city, council, dog ownership, dogs, north adelaide, registration",Community information and citizen services,Castiel
Fees & Charges,"This dataset provides a list of all the fees and charges that exist within Adelaide City Council along with the GST, authority and legislative types.
Files are included from 2010 financial year to current.
",dataset,,Creative Commons Attribution,active,Linked,Annually,/dataset/1f232b6f-4e90-4ebf-9dcd-ad3d84cf2d8d,2014-05-29T00:01:30.440193,2016-08-12T00:49:37.495940,DataSA@sa.gov.au,Across the Council,N/A,N/A,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"charges, fees, pricing",Community information and citizen services,Castiel
Adelaide City Contours,This dataset contains the Adelaide City Contours at 0.5m height levels. The position accuracy levels are 0.5m,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/71d3fcef-b50f-48d2-a238-40b8c45c1366,2016-08-11T00:33:25.272259,2016-08-11T06:36:19.977332,city@adelaidecitycouncil.com,,N/A,2008/12/1,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"Adelaide, Contours, Parklands",,Castiel
Torrens River Water Quality - Upstream and Downstream from Lake,"This dataset contains water quality measurements from various locations upstream from Gorge Weir to Hackney Road Bridge and downstream of the Torrens lake from City Weir to West Beach Outlet.  Used to manage blue green algae over the summer period.
Data is measured and analysis is conducted by the Australian Water Quality Centre (AWQC) 2-3 times per week.  This dataset is provided by the National Resources Management Board to ACC on a fortnightly basis.",dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/2f40aae2-e434-4d85-a8c5-78211e0a44aa,2015-06-16T02:02:41.975100,2016-08-10T04:44:35.141997,city@adelaidecitycouncil.com,Samples taken every 2-3 days,2014/12/1,,River Torrens from Gorge Weir to West Beach,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, river torrens, water quality","Water, energy, resources, environment and science",Castiel
3D Model of the City of Adelaide,"3D Model of the city of Adelaide. The link contains a list of a large number of sub-folders and files. At the bottom of the list are the help files, block map and metadata. Some blocks have had their original origins reset, please refer to the 'How to fix broken origins' spreadsheet. *TIP for Sketch Up only* - bring the models in & attach them to the origin, set the scale to 39.625 (inches in 1 metre). Scale for all other software is 1:100. For quicker performance in the textured version, go to View Menu, Face Style and select 'shaded'.",dataset,English,Creative Commons Attribution,active,Linked,never,/dataset/335b887e-58ad-42e0-902e-7ebf05515b87,2015-06-10T02:09:58.801909,2016-07-29T04:53:55.016301,city@adelaidecitycouncil.com,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"3d, 3d model, buildings, city, map",,Castiel
City Library Daily Door Count,Captures the total number of people entering the City Library - daily count.,dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/50c64c6c-486e-466c-ad58-e3988f04fd74,2015-06-09T05:38:07.881703,2016-07-14T06:34:03.797235,city@adelaidecitycouncil.com,,2014/5/26,2015/5/24,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"door count, libraries, library, usage",Community information and citizen services,Castiel
Properties Land Use,This report contains all properties within Adelaide and North Adelaide with their attributed Land Use Code.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/f26680d2-32ed-43ce-899c-53ac4565e1be,2016-06-30T03:06:52.046162,2016-07-08T07:09:21.657284,DataSA@sa.gov.au ,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"land use, properties","Housing, land, planning and infrastructure",Castiel
Torrens Lake Aerator,Provides geographic location and attribute data for the Torrens Lake Aerator within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/2f030185-1522-4bcb-8a18-da17bbc648a4,2016-07-01T01:57:22.727311,2016-07-08T07:08:27.003347,DataSA@sa.gov.au ,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Lake Aerator, Torrens Lake","Water, energy, resources, environment and science",Castiel
